text,drug,effect,indexes
Reactivation of cytomegalovirus probably followed the treatment of Wegener's granulomatosis with corticosteroids and azathioprine.,azathioprine,Reactivation of cytomegalovirus,"{'drug': {'start_char': [117], 'end_char': [129]}, 'effect': {'start_char': [0], 'end_char': [31]}}"
"After excluding other causes of long QT syndrome, the HCQ was suspected as the cause of her ventricular tachycardia.",HCQ,ventricular tachycardia,"{'drug': {'start_char': [54], 'end_char': [57]}, 'effect': {'start_char': [92], 'end_char': [115]}}"
Chronic hydroxychloroquine use associated with QT prolongation and refractory ventricular arrhythmia.,hydroxychloroquine,QT prolongation,"{'drug': {'start_char': [8], 'end_char': [26]}, 'effect': {'start_char': [47], 'end_char': [62]}}"
Chronic hydroxychloroquine use associated with QT prolongation and refractory ventricular arrhythmia.,hydroxychloroquine,refractory ventricular arrhythmia,"{'drug': {'start_char': [8], 'end_char': [26]}, 'effect': {'start_char': [67], 'end_char': [100]}}"
"CONCLUSION: The chronic use of HCQ for rheumatic diseases, or as an anti-malarial drug, should be balanced against the risk of developing potentially lethal cardiac arrhythmias.",HCQ,cardiac arrhythmias,"{'drug': {'start_char': [31], 'end_char': [34]}, 'effect': {'start_char': [157], 'end_char': [176]}}"
We report a case of chronic use of HCQ associated with torsade de pointes.,HCQ,torsade de pointes,"{'drug': {'start_char': [35], 'end_char': [38]}, 'effect': {'start_char': [55], 'end_char': [73]}}"
CONCLUSIONS: The increasing prevalence of Type 2 diabetes and its treatment with metformin might result in more cases of lactic acidosis.,metformin,lactic acidosis,"{'drug': {'start_char': [81], 'end_char': [90]}, 'effect': {'start_char': [121], 'end_char': [136]}}"
Severe acidosis in patients taking metformin--rapid reversal and survival despite high APACHE score.,metformin,Severe acidosis,"{'drug': {'start_char': [35], 'end_char': [44]}, 'effect': {'start_char': [0], 'end_char': [15]}}"
Case report: lack of control of diabetes and weight gain in a patient on initiation and rechallenge of therapy with olanzapine.,olanzapine,diabetes,"{'drug': {'start_char': [116], 'end_char': [126]}, 'effect': {'start_char': [32], 'end_char': [40]}}"
Case report: lack of control of diabetes and weight gain in a patient on initiation and rechallenge of therapy with olanzapine.,olanzapine,weight gain,"{'drug': {'start_char': [116], 'end_char': [126]}, 'effect': {'start_char': [45], 'end_char': [56]}}"
The following is a case report analysis intended to draw attention to the need for better care coordination by describing the observed relationship of olanzapine to metabolic changes manifested as uncontrolled diabetes mellitus and weight gain.,olanzapine,uncontrolled diabetes mellitus,"{'drug': {'start_char': [151], 'end_char': [161]}, 'effect': {'start_char': [197], 'end_char': [227]}}"
The following is a case report analysis intended to draw attention to the need for better care coordination by describing the observed relationship of olanzapine to metabolic changes manifested as uncontrolled diabetes mellitus and weight gain.,olanzapine,weight gain,"{'drug': {'start_char': [151], 'end_char': [161]}, 'effect': {'start_char': [232], 'end_char': [243]}}"
"The patient was enrolled in a weight-loss clinic, and his diabetes medications were adjusted.Subsequently, olanzapine was discontinued because of weight gain and uncontrolled diabetes.",olanzapine,uncontrolled diabetes,"{'drug': {'start_char': [107], 'end_char': [117]}, 'effect': {'start_char': [162], 'end_char': [183]}}"
"The patient was enrolled in a weight-loss clinic, and his diabetes medications were adjusted.Subsequently, olanzapine was discontinued because of weight gain and uncontrolled diabetes.",olanzapine,weight gain,"{'drug': {'start_char': [107], 'end_char': [117]}, 'effect': {'start_char': [146], 'end_char': [157]}}"
PURPOSE: To report a case of traumatic flap dehiscence and Enterobacter keratitis 34 months after LASIK.,LASIK,Enterobacter keratitis,"{'drug': {'start_char': [98], 'end_char': [103]}, 'effect': {'start_char': [59], 'end_char': [81]}}"
PURPOSE: To report a case of traumatic flap dehiscence and Enterobacter keratitis 34 months after LASIK.,LASIK,traumatic flap dehiscence,"{'drug': {'start_char': [98], 'end_char': [103]}, 'effect': {'start_char': [29], 'end_char': [54]}}"
Traumatic late flap dehiscence and Enterobacter keratitis following LASIK.,LASIK,Enterobacter keratitis,"{'drug': {'start_char': [68], 'end_char': [73]}, 'effect': {'start_char': [35], 'end_char': [57]}}"
Traumatic late flap dehiscence and Enterobacter keratitis following LASIK.,LASIK,Traumatic late flap dehiscence,"{'drug': {'start_char': [68], 'end_char': [73]}, 'effect': {'start_char': [0], 'end_char': [30]}}"
"We report the case of a lung cancer patient with bronquiloalveolar carcinoma (BAC) presenting with BOOP after chemotherapy with docetaxel and gemcitabine producing severe respiratory insufficiency, and simulating a progression of the tumor.",docetaxel,BOOP,"{'drug': {'start_char': [128], 'end_char': [137]}, 'effect': {'start_char': [99], 'end_char': [103]}}"
"We report the case of a lung cancer patient with bronquiloalveolar carcinoma (BAC) presenting with BOOP after chemotherapy with docetaxel and gemcitabine producing severe respiratory insufficiency, and simulating a progression of the tumor.",gemcitabine,BOOP,"{'drug': {'start_char': [142], 'end_char': [153]}, 'effect': {'start_char': [99], 'end_char': [103]}}"
"We report the case of a lung cancer patient with bronquiloalveolar carcinoma (BAC) presenting with BOOP after chemotherapy with docetaxel and gemcitabine producing severe respiratory insufficiency, and simulating a progression of the tumor.",docetaxel,progression of the tumor,"{'drug': {'start_char': [128], 'end_char': [137]}, 'effect': {'start_char': [215], 'end_char': [239]}}"
"We report the case of a lung cancer patient with bronquiloalveolar carcinoma (BAC) presenting with BOOP after chemotherapy with docetaxel and gemcitabine producing severe respiratory insufficiency, and simulating a progression of the tumor.",gemcitabine,progression of the tumor,"{'drug': {'start_char': [142], 'end_char': [153]}, 'effect': {'start_char': [215], 'end_char': [239]}}"
"We report the case of a lung cancer patient with bronquiloalveolar carcinoma (BAC) presenting with BOOP after chemotherapy with docetaxel and gemcitabine producing severe respiratory insufficiency, and simulating a progression of the tumor.",docetaxel,severe respiratory insufficiency,"{'drug': {'start_char': [128], 'end_char': [137]}, 'effect': {'start_char': [164], 'end_char': [196]}}"
"We report the case of a lung cancer patient with bronquiloalveolar carcinoma (BAC) presenting with BOOP after chemotherapy with docetaxel and gemcitabine producing severe respiratory insufficiency, and simulating a progression of the tumor.",gemcitabine,severe respiratory insufficiency,"{'drug': {'start_char': [142], 'end_char': [153]}, 'effect': {'start_char': [164], 'end_char': [196]}}"
A 65-year-old man on warfarin therapy with a sudden spontaneous onset of sub-conjunctival haematoma associated with bloody tears was assessed in the clinic following a referral from an optometrist.,warfarin,bloody tears,"{'drug': {'start_char': [21], 'end_char': [29]}, 'effect': {'start_char': [116], 'end_char': [128]}}"
A 65-year-old man on warfarin therapy with a sudden spontaneous onset of sub-conjunctival haematoma associated with bloody tears was assessed in the clinic following a referral from an optometrist.,warfarin,sub-conjunctival haematoma,"{'drug': {'start_char': [21], 'end_char': [29]}, 'effect': {'start_char': [73], 'end_char': [99]}}"
An unusual presentation of spontaneous sub-conjunctival haematoma in a patient receiving warfarin.,warfarin,sub-conjunctival haematoma,"{'drug': {'start_char': [89], 'end_char': [97]}, 'effect': {'start_char': [39], 'end_char': [65]}}"
"Due to discomfort, diplopia and lagophthalmos, the haematoma necessitated suspension of warfarin therapy and a surgical evacuation.",warfarin,diplopia,"{'drug': {'start_char': [88], 'end_char': [96]}, 'effect': {'start_char': [19], 'end_char': [27]}}"
"Due to discomfort, diplopia and lagophthalmos, the haematoma necessitated suspension of warfarin therapy and a surgical evacuation.",warfarin,discomfort,"{'drug': {'start_char': [88], 'end_char': [96]}, 'effect': {'start_char': [7], 'end_char': [17]}}"
"Due to discomfort, diplopia and lagophthalmos, the haematoma necessitated suspension of warfarin therapy and a surgical evacuation.",warfarin,haematoma,"{'drug': {'start_char': [88], 'end_char': [96]}, 'effect': {'start_char': [51], 'end_char': [60]}}"
"Due to discomfort, diplopia and lagophthalmos, the haematoma necessitated suspension of warfarin therapy and a surgical evacuation.",warfarin,lagophthalmos,"{'drug': {'start_char': [88], 'end_char': [96]}, 'effect': {'start_char': [32], 'end_char': [45]}}"
The sub-conjunctival haematoma in a patient receiving warfarin can pose a significant management challenge.,warfarin,sub-conjunctival haematoma,"{'drug': {'start_char': [54], 'end_char': [62]}, 'effect': {'start_char': [4], 'end_char': [30]}}"
Angioedema and maculopapular eruptions associated with carbamazepine administration.,carbamazepine,Angioedema,"{'drug': {'start_char': [55], 'end_char': [68]}, 'effect': {'start_char': [0], 'end_char': [10]}}"
Angioedema and maculopapular eruptions associated with carbamazepine administration.,carbamazepine,maculopapular eruptions,"{'drug': {'start_char': [55], 'end_char': [68]}, 'effect': {'start_char': [15], 'end_char': [38]}}"
"Angioedema, a rare side effect of carbamazepine, involves vascular leakage in dermis and subcutis mediated by immunoglobulin E and/or bradykinins.",carbamazepine,Angioedema,"{'drug': {'start_char': [34], 'end_char': [47]}, 'effect': {'start_char': [0], 'end_char': [10]}}"
Cutaneous eruptions occur in 3% of individuals administered carbamazepine.,carbamazepine,Cutaneous eruptions,"{'drug': {'start_char': [60], 'end_char': [73]}, 'effect': {'start_char': [0], 'end_char': [19]}}"
"Cutaneous rashes and eruptions can be caused by many medications, including carbamazepine.",carbamazepine,Cutaneous rashes,"{'drug': {'start_char': [76], 'end_char': [89]}, 'effect': {'start_char': [0], 'end_char': [16]}}"
"Cutaneous rashes and eruptions can be caused by many medications, including carbamazepine.",carbamazepine,eruptions,"{'drug': {'start_char': [76], 'end_char': [89]}, 'effect': {'start_char': [21], 'end_char': [30]}}"
We report the case of a 27-year-old Indian woman who developed maculopapular rash and angioedema secondary to carbamazepine administration.,carbamazepine,angioedema,"{'drug': {'start_char': [110], 'end_char': [123]}, 'effect': {'start_char': [86], 'end_char': [96]}}"
We report the case of a 27-year-old Indian woman who developed maculopapular rash and angioedema secondary to carbamazepine administration.,carbamazepine,maculopapular rash,"{'drug': {'start_char': [110], 'end_char': [123]}, 'effect': {'start_char': [63], 'end_char': [81]}}"
Severe adenovirus pneumonia (AVP) following infliximab infusion for the treatment of Crohn's disease.,infliximab,AVP,"{'drug': {'start_char': [44], 'end_char': [54]}, 'effect': {'start_char': [29], 'end_char': [32]}}"
Severe adenovirus pneumonia (AVP) following infliximab infusion for the treatment of Crohn's disease.,infliximab,Severe adenovirus pneumonia,"{'drug': {'start_char': [44], 'end_char': [54]}, 'effect': {'start_char': [0], 'end_char': [27]}}"
We report a case of severe AVP three weeks following the administration of infliximab for the treatment of Crohn's disease (CD).,infliximab,severe AVP,"{'drug': {'start_char': [75], 'end_char': [85]}, 'effect': {'start_char': [20], 'end_char': [30]}}"
First case of ivermectin-induced severe hepatitis.,ivermectin,severe hepatitis,"{'drug': {'start_char': [14], 'end_char': [24]}, 'effect': {'start_char': [33], 'end_char': [49]}}"
"To our knowledge, this is the first case of ivermectin-induced severe liver disease published in the literature.",ivermectin,severe liver disease,"{'drug': {'start_char': [44], 'end_char': [54]}, 'effect': {'start_char': [63], 'end_char': [83]}}"
"We report the case of a 20-year-old woman originally from Cameroon who was infected by the L. loa parasite and developed severe hepatitis, identified 1 month after a single dose of ivermectin.",ivermectin,severe hepatitis,"{'drug': {'start_char': [181], 'end_char': [191]}, 'effect': {'start_char': [121], 'end_char': [137]}}"
"CASE REPORT: We hereby report a case of radiation recall dermatitis and myositis occurring on gemcitabine monotherapy, five months after completing chemoradiation for locally advanced pancreatic cancer.",gemcitabine,myositis,"{'drug': {'start_char': [94], 'end_char': [105]}, 'effect': {'start_char': [72], 'end_char': [80]}}"
"CASE REPORT: We hereby report a case of radiation recall dermatitis and myositis occurring on gemcitabine monotherapy, five months after completing chemoradiation for locally advanced pancreatic cancer.",gemcitabine,radiation recall dermatitis,"{'drug': {'start_char': [94], 'end_char': [105]}, 'effect': {'start_char': [40], 'end_char': [67]}}"
CONCLUSIONS: This is the second case report that describes gemcitabine-induced radiation recall in rectus abdominus muscles after gemcitabine-based radiation therapy.,gemcitabine,radiation recall,"{'drug': {'start_char': [59, 130], 'end_char': [70, 141]}, 'effect': {'start_char': [79], 'end_char': [95]}}"
